fannkuch-redux;1970712514.9377763;78.59908280000036
fasta;;
mandelbrot;3322293103.015714;142.95938709999973
n-body;457246840.15081507;195.04511640000055
reverse-complement;3101047136.9641833;1793.4675511000005
-------------------------OTP-26---------------------------
fannkuch-redux;1343771728.8889356;52.32688529999999
fasta;88948221.77768034;29.919294899999983
mandelbrot;1354942975.2410789;54.98889839999998
n-body;268387713.6835475;101.0201457
reverse-complement;268737403.19080734;171.98492300000004
